ID,epoch,guid,userID
339,1584544057,209_campus_5e723939ef5387.11023102,209
340,1584546217,181_campus_5e7241a93bbce5.93055274,181
341,1584546419,181_campus_5e724273317080.79078319,181
342,1584546552,181_campus_5e7242f82da824.45934056,181
343,1584547915,121_campus_5e72484b1646f2.83667909,121
344,1584549155,201_campus_5e724d23381c00.76916331,201
345,1584549951,85_campus_5e72503f03c303.57658547,85
346,1584554395,192_campus_5e72619b88d438.69171880,192
347,1584557114,154_campus_5e726c3abd15e6.86539454,154
348,1584557745,85_campus_5e726eb1c2ce92.35639737,85
349,1584561580,208_campus_5e727dac101ed1.07954281,208
350,1584562446,137_campus_5e72810e8e8e82.43000986,137
351,1584563888,210_campus_5e7286b087f151.39368997,210
352,1584564489,177_campus_5e728909019446.28408392,177
353,1584564781,166_campus_5e728a2df07315.25134657,166
354,1584565853,211_campus_5e728e5de1f286.27652177,211
355,1584566216,168_campus_5e728fc8431f07.38552191,168
356,1584567657,149_campus_5e72956915f273.28155245,149
357,1584570724,212_campus_5e72a1642780a1.62519509,212
358,1584571305,109_campus_5e72a3a9ad6f16.38209062,109
359,1584572497,109_campus_5e72a85158b414.94931931,109
360,1584572751,213_campus_5e72a94f33f1b4.39631321,213
361,1584573080,197_campus_5e72aa98569294.15194967,197
362,1584574196,213_campus_5e72aef466ea62.78877236,213
363,1584574872,214_campus_5e72b198bd5ce7.32948632,214
364,1584576680,127_campus_5e72b8a8422c05.42065211,127
365,1584577792,217_campus_5e72bd00972b60.03596989,217
366,1584578046,170_campus_5e72bdfe8f1264.05136250,170
367,1584578403,219_campus_5e72bf63f1e228.35193255,219
368,1584578648,220_campus_5e72c058eb0821.97495492,220
369,1584578760,221_campus_5e72c0c80a6d81.82458030,221
370,1584580585,104_campus_5e72c7e92dbb71.59919250,104
371,1584580966,104_campus_5e72c966e5a620.04444736,104
372,1584581377,223_campus_5e72cb0151b238.29134651,223
373,1584581518,172_campus_5e72cb8e11ced5.98247730,172
374,1584581687,224_campus_5e72cc371d3708.67178297,224
375,1584582410,225_campus_5e72cf0a210524.08726489,225
376,1584584965,169_campus_5e72d905a013e9.06876879,169
377,1584585840,153_campus_5e72dc709d8aa3.73791967,153
378,1584586949,169_campus_5e72e0c5456509.49855409,169
379,1584588229,205_campus_5e72e5c5a439b9.07145300,205
380,1584591274,118_campus_5e72f1aa976425.38935291,118
381,1584615099,81_campus_5e734ebb2a3a21.27237870,81
382,1584623216,217_campus_5e736e70ea2323.09421001,217
383,1584625147,106_campus_5e7375fbb77071.41362607,106
384,1584626735,210_campus_5e737c2fa01b26.28135064,210
385,1584626883,210_campus_5e737cc33a3ea9.78402084,210
386,1584628132,202_campus_5e7381a427f774.27825289,202
387,1584637130,228_campus_5e73a4ca509664.16452791,228
388,1584637412,192_campus_5e73a5e49e3366.13827821,192
389,1584637524,231_campus_5e73a6544c9107.93354302,231
390,1584637986,232_campus_5e73a822570972.55521574,232
391,1584639184,232_campus_5e73acd0d841b4.09219198,232
392,1584639240,165_campus_5e73ad089f95d0.55507887,165
393,1584645072,223_campus_5e73c3d04b4296.10779019,223
394,1584647802,222_campus_5e73ce7adf5312.81440233,222
395,1584648574,194_campus_5e73d17ea91949.50943404,194
396,1584648715,217_campus_5e73d20b85a4f5.39767468,217
397,1584648986,221_campus_5e73d31ab390b1.61692430,221
398,1584649111,234_campus_5e73d397ad40e1.48143441,234
399,1584649256,235_campus_5e73d428e905e3.47840745,235
400,1584649350,214_campus_5e73d4866dae28.08820909,214
401,1584649718,235_campus_5e73d5f6a45790.21809119,235
402,1584649803,233_campus_5e73d64b0885c4.32197058,233
403,1584650612,234_campus_5e73d974628072.14306525,234
404,1584651014,236_campus_5e73db06c6d051.55272598,236
405,1584651299,229_campus_5e73dc230d5b58.41021318,229
406,1584651304,144_campus_5e73dc28ba2260.00965303,144
407,1584651575,237_campus_5e73dd371240e7.61852394,237
408,1584651908,230_campus_5e73de84e1c524.80793810,230
409,1584653390,232_campus_5e73e44eb6fed3.06937603,232
410,1584654366,218_campus_5e73e81ec18af1.40651601,218
411,1584654445,220_campus_5e73e86d5dcda9.42329269,220
412,1584655056,218_campus_5e73ead04a9fa8.51018836,218
413,1584655105,220_campus_5e73eb01dc3472.28149887,220
414,1584657363,238_campus_5e73f3d3d78a75.05468261,238
